date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:15	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-3a1f5b8ef50e25b;gz%22	https://promodepascoaa.shop/robots.txt		(from )
20:53:15	47313/47313	---M-Z	200	added ('OK')	text/html	etag:%22b8d1-69a7894c-1664d7527c86a0d5;gz%22	https://promodepascoaa.shop/	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/index.html	(from )
20:53:15	16768/16768	---M-Z	200	added ('OK')	application/x-javascript	etag:%224180-69a7320b-8d28bddc4750b672;gz%22	https://promodepascoaa.shop/js/latest.js	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/js/latest.js	(from https://promodepascoaa.shop/)
20:53:16	7789/7789	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2005%20Mar%202026%2023:53:16%20GMT	https://analytics.tiktok.com/i18n/pixel/events.js	C:/My%20Web%20Sites/pascoashop/analytics.tiktok.com/i18n/pixel/events.js	(from https://promodepascoaa.shop/)
20:53:16	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%2211846-69a7320b-c68bf9dc0a9f3330;gz%22	https://promodepascoaa.shop/css/animate.min.css	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/css/animate.min.css	(from https://promodepascoaa.shop/)
20:53:16	92056/92056	---M--	200	added ('OK')	image/png	etag:%2216798-69a7320b-806fb0999f932418;;;%22	https://promodepascoaa.shop/images/logocerta.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/logocerta.png	(from https://promodepascoaa.shop/)
20:53:16	18394/18394	---M--	200	added ('OK')	image/png	etag:%2247da-69a7320b-eb18f8be5e6a9fca;;;%22	https://promodepascoaa.shop/images/cacaulogo.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/cacaulogo.png	(from https://promodepascoaa.shop/)
20:53:16	521199/521199	---M--	200	added ('OK')	image/png	etag:%227f3ef-69a7320b-f8d6469e19a62005;;;%22	https://promodepascoaa.shop/images/cau1.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/cau1.png	(from https://promodepascoaa.shop/)
20:53:16	94527/94527	---M--	200	added ('OK')	image/png	etag:%221713f-69a7320b-7fe41a9e7364a34e;;;%22	https://promodepascoaa.shop/images/brlogo.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/brlogo.png	(from https://promodepascoaa.shop/)
20:53:17	264385/264385	---M--	200	added ('OK')	image/png	etag:%22408c1-69a7320b-fc175ab17480a76f;;;%22	https://promodepascoaa.shop/images/cau2.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/cau2.png	(from https://promodepascoaa.shop/)
20:53:17	592935/592935	---M--	200	added ('OK')	image/png	etag:%2290c27-69a7320b-12f4ed05cc0cc869;;;%22	https://promodepascoaa.shop/images/pro1.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/pro1.png	(from https://promodepascoaa.shop/)
20:53:17	608302/608302	---M--	200	added ('OK')	image/png	etag:%229482e-69a7320b-ad8c5315391ef8e7;;;%22	https://promodepascoaa.shop/images/pro2.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/pro2.png	(from https://promodepascoaa.shop/)
20:53:17	1758786/1758786	---M--	200	added ('OK')	image/png	etag:%221ad642-69a7320b-5697e9a6c249d4f0;;;%22	https://promodepascoaa.shop/images/cau3.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/cau3.png	(from https://promodepascoaa.shop/)
20:53:18	701198/701198	---M--	200	added ('OK')	image/png	etag:%22ab30e-69a7320b-27edb9e7200e1a12;;;%22	https://promodepascoaa.shop/images/r1.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/r1.png	(from https://promodepascoaa.shop/)
20:53:18	1120546/1120546	---M--	200	added ('OK')	image/png	etag:%22111922-69a7320b-655e9cef61f1222f;;;%22	https://promodepascoaa.shop/images/r2.png	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/images/r2.png	(from https://promodepascoaa.shop/)
20:53:18	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-3a1f5b8ef50e25b;gz%22	https://promodepascoaa.shop/url,%20window.location.href	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/url,%20window.location.href	(from https://promodepascoaa.shop/)
20:53:18	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-3a1f5b8ef50e25b;gz%22	https://promodepascoaa.shop/wa.me	C:/My%20Web%20Sites/pascoashop/promodepascoaa.shop/wa.me	(from https://promodepascoaa.shop/js/latest.js)
